model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.0,0.02,tau_star,8.013671875,8.013671875,9.013671875,79780.97448144824,1017755562.4748545,12940751155872.78,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,0.9984115844257899,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.0,0.02,cost_opt,8.013671875,8.414355468847182,9.414355468847182,79770.48246432489,1017672201.1782467,12322925084375.996,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,0.998279143624827,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.2,0.024,tau_star,8.013671875,8.013671875,9.013671875,79763.22052670411,1017628478.4641274,12937518558071.918,797332.8636717449,1494.4794669649752,178280.76125913038,164542.4751287807,0.9981291583471681,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.2,0.024,cost_opt,8.013671875,8.414355468849022,9.414355468849022,79751.00756079964,1017532974.6438056,12319563740777.488,797185.1617297085,1622.1197693005547,195969.77112103385,161656.74530192235,0.9979693227554755,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,0.8,0.144,tau_star,8.013671875,8.013671875,9.013671875,79795.40954031046,1017859183.4178064,12943377336656.05,797736.7339811648,1085.2039483552503,128252.90753069996,117990.56722035432,0.9986414945598915,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,0.8,0.144,cost_opt,8.013671875,8.414355468848273,9.414355468848273,79787.04034592178,1017789974.9429871,12325802233542.613,797637.15344495,1164.5089759553239,139287.63074798958,110416.65438842367,0.9985421800795631,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,1.0,0.18,tau_star,8.013671875,8.013671875,9.013671875,79780.97448144824,1017755562.4748545,12940751155872.78,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,0.9984115844257899,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,1.0,0.18,cost_opt,8.013671875,8.414355468847182,9.414355468847182,79770.48246432489,1017672201.1782467,12322925084375.996,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,0.998279143624827,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,1.2,0.216,tau_star,8.013671875,8.013671875,9.013671875,79763.52180072539,1017630669.3676007,12937574648055.146,797336.6591527822,1490.571323280994,177835.92616353504,163415.17977004923,0.9981340504349198,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,1.2,0.216,cost_opt,8.013671875,8.414355468848939,9.414355468848939,79750.13896709937,1017527176.1403297,12319414176965.135,797174.292969003,1633.0141584936619,197548.11676434884,161330.98950054427,0.9979556845012273,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK
