model_layer,entrypoint,case_label,ScenarioMode,FailureTiming,SE_Disrupt,Rocket_Disrupt,param,baseline_value,factor,trial_value,policy,tau_star_bisect (yr),tau_build (yr),Time_total (yr),TotalCost ($B),E_total (index),EnvPenalty,Total_FE_Launches,Total_FA_Launches,Total_SE_Throughput (tons),Apex_Inventory_Peak (tons),route_share_direct,regime_label,SolverSuccess,ConstraintOK,BuildOK,OpsOK,ReturnStatus,TimeseriesCSV,status,proxy_direct_launch_count,proxy_total_lunar_launch_count,proxy_direct_route_share,proxy_avg_direct_launches_per_yr,proxy_avg_total_lunar_launches_per_yr,proxy_env_per_year,proxy_env_per_direct_launch,proxy_cost_per_direct_launch_B,proxy_cost_per_total_lunar_launch_B,proxy_se_tons_per_total_launch,proxy_peak_direct_launches_per_yr,proxy_peak_apex_launches_per_yr,proxy_peak_delivered_tons_per_yr
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.0,0.8714,tau_star,8.013671875,8.013671875,9.013671875,79769.15867387883,1017671279.274643,12938600451325.162,797407.3080810705,1419.2790015846483,169142.96028239856,156944.07963579855,0.9982232952376212,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797407.3080810705,798826.5870826552,0.9982232952376211,88466.42291170273,88623.88138381786,112903075.83718683,1276.2251724575099,0.10003565037024828,0.0998579165538278,0.2117392723496035,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.0,0.8714,cost_opt,8.013671875,8.414355468846258,9.414355468846258,79757.74984859531,1017581056.8668424,12320709171704.066,797269.8880675646,1535.734159386719,185434.60448669575,132179.55902994468,0.9980774620049552,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797269.8880675646,798805.6222269513,0.9980774620049552,84686.61404446322,84849.74089520394,108088233.9990449,1276.331982552698,0.10003858297208917,0.09984625499535489,0.2321398339307273,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.2,0.999,tau_star,8.013671875,8.013671875,9.013671875,79753.919703641,1017562145.683325,12935824386002.783,797216.2266379464,1612.4403763773814,192929.2752868125,179192.55325156427,0.9979814941013522,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797216.2266379464,798828.6670143239,0.9979814941013522,88445.22384368983,88624.1121368004,112890968.27515979,1276.3941722243044,0.10004051227103412,0.09983857990691129,0.2415152125272353,,,
campaign_scale,run_bridge_sensitivity.py,mixed_base,mixed,relative,OFF,OFF,delta_eff,0.8714,1.2,0.999,cost_opt,8.013671875,8.414355468848633,9.414355468848632,79740.96486629815,1017460938.3560303,12317815974897.986,797059.3458071566,1748.8687697152864,211640.752766876,169404.7621149899,0.997810652497306,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797059.3458071566,798808.214576872,0.997810652497306,84664.25008536845,84850.01625656329,108075474.9194174,1276.5184220074354,0.10004394940698802,0.09982491843619419,0.26494563889654277,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,0.8,429600.0,tau_star,8.013671875,8.013671875,9.013671875,79799.4542602854,1017887985.6937923,12944113864448.582,797787.564587036,1033.3661661487756,121913.0352772461,112249.18468027128,0.99870638571629,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797787.564587036,798820.9307531848,0.99870638571629,88508.60954898428,88623.25385604131,112927117.80611521,1275.888508265591,0.10002594400126118,0.09989654901135958,0.15261622546907713,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,0.8,429600.0,cost_opt,8.013671875,8.414355468848465,9.414355468848465,79790.66431472977,1017816057.1111224,12326433537136.318,797682.6376524561,1118.3560123414456,133716.94934359303,107246.27366797609,0.9985999566585282,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797682.6376524561,798800.9936647975,0.9985999566585282,84730.45661935539,84849.24924579085,108113195.90374662,1275.966166327136,0.10002808203216017,0.09988803838195086,0.16739707437032175,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.0,537000.0,tau_star,8.013671875,8.013671875,9.013671875,79780.97448144824,1017755562.4748544,12940751155872.78,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,0.99841158442579,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797555.5952852343,798824.4604993514,0.9984115844257899,88482.87427649836,88623.64545518265,112912426.43274657,1276.093564500502,0.1000318660580843,0.09987297388412034,0.1885202286118089,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.0,537000.0,cost_opt,8.013671875,8.414355468847182,9.414355468847182,79770.48246432489,1017672201.1782469,12322925084375.996,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,0.998279143624827,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797429.4854320249,798804.1125816755,0.998279143624827,84703.56659792375,84849.58053952595,108097915.41713095,1276.190835390167,0.10003452834592325,0.09986238329008174,0.20720038233310598,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.2,644400.0,tau_star,8.013671875,8.013671875,9.013671875,79762.51162919878,1017623408.0754676,12937389471760.63,797323.9753441085,1503.462355322097,179390.7259172135,165565.6235686744,0.9981179134762171,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797323.9753441085,798827.4376994306,0.9981179134762171,88457.17776298668,88623.97575343629,112897764.88291211,1276.298517972299,0.10003776895680946,0.09984948921998656,0.22456755671017856,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,K_max_total_tpy,537000.0,1.2,644400.0,cost_opt,8.013671875,8.414355468848983,9.414355468848983,79750.16155280855,1017526960.8676465,12319416602887.086,797174.5617098295,1632.802631885091,197316.75163272824,162205.70521129132,0.997955949450678,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797174.5617098295,798807.3643417145,0.9979559494506781,84676.48840619925,84849.92594393488,108082487.88082474,1276.4167470236273,0.10004102662502859,0.09983653770960098,0.24701418695023436,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,0.8,0.016,tau_star,8.013671875,8.013671875,9.013671875,79798.98194735577,1017885276.8611984,12944027886964.398,797781.5902330651,1039.6091700401394,122962.5937611222,112852.64215424751,0.9986985708806716,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797781.5902330651,798821.1994031052,0.9986985708806715,88507.94673874958,88623.28366075619,112926817.28124239,1275.8946675666355,0.10002610103354627,0.09989592415296832,0.15393005825709466,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,0.8,0.016,cost_opt,8.013671875,8.41435546884846,9.41435546884846,79790.08678783849,1017811957.102519,12326333594816.164,797675.3865934022,1125.723527358952,134631.804309731,107944.337355901,0.9985907336468414,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797675.3865934022,798801.1101207612,0.9985907336468414,84729.6864063464,84849.26161583196,108112760.39771369,1275.9726252169376,0.10002826729880003,0.09988730082733108,0.16854233501174984,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.0,0.02,tau_star,8.013671875,8.013671875,9.013671875,79780.97448144824,1017755562.4748544,12940751155872.78,797555.5952852343,1268.86521411714,150594.56991404263,139145.7004666356,0.99841158442579,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797555.5952852343,798824.4604993514,0.9984115844257899,88482.87427649836,88623.64545518265,112912426.43274657,1276.093564500502,0.1000318660580843,0.09987297388412034,0.1885202286118089,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.0,0.02,cost_opt,8.013671875,8.414355468847182,9.414355468847182,79770.48246432489,1017672201.1782469,12322925084375.996,797429.4854320249,1374.6271496506035,165512.5175361806,124126.88866378216,0.998279143624827,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797429.4854320249,798804.1125816755,0.998279143624827,84703.56659792375,84849.58053952595,108097915.41713095,1276.190835390167,0.10003452834592325,0.09986238329008174,0.20720038233310598,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.2,0.024,tau_star,8.013671875,8.013671875,9.013671875,79763.22052670411,1017628478.4641274,12937518558071.918,797332.8636717449,1494.4794669649752,178280.76125913038,164542.4751287807,0.998129158347168,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797332.8636717449,798827.3431387099,0.9981291583471681,88458.16385697365,88623.96526262611,112898327.40490428,1276.2906495261134,0.1000375428643337,0.09985038846229613,0.2231780907231331,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,alpha,0.02,1.2,0.024,cost_opt,8.013671875,8.414355468849022,9.414355468849022,79751.00756079964,1017532974.6438056,12319563740777.488,797185.1617297085,1622.1197693005547,195969.77112103385,161656.74530192235,0.9979693227554756,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797185.1617297085,798807.2814990091,0.9979693227554755,84677.61434837457,84849.91714431933,108083126.66870299,1276.4073185155542,0.10004075764250088,0.09983760715243126,0.24532797291642733,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,0.8,0.144,tau_star,8.013671875,8.013671875,9.013671875,79795.40954031046,1017859183.4178064,12943377336656.05,797736.7339811648,1085.2039483552503,128252.90753069996,117990.56722035432,0.9986414945598916,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797736.7339811648,798821.93792952,0.9986414945598915,88502.97027049975,88623.36559478099,112923922.40734927,1275.9337010069778,0.10002724726249662,0.09989135970293143,0.16055256051570244,,,
campaign_scale,run_bridge_sensitivity.py,mixed_sefail,mixed,relative,ON,OFF,r,0.18,0.8,0.144,cost_opt,8.013671875,8.414355468848273,9.414355468848273,79787.04034592178,1017789974.9429872,12325802233542.611,797637.15344495,1164.508975955324,139287.63074798958,110416.65438842367,0.9985421800795632,rocket-dominant,YES,YES,YES,YES,Solve_Succeeded,,OK,797637.15344495,798801.6624209053,0.9985421800795631,84725.6252522331,84849.32028157511,108110425.43600714,1276.0062273268109,0.10002924262156801,0.09988341799904807,0.1743707321863284,,,
