model_layer,iK,iE,Keff_tpy,K_max_total,delta_eff,epsilon,epsilon_mult,JE_ref,gamma_ref,gamma_star,JE,JE_relerr,phaseout_t,phaseout_label,status
reduced_mature_regime,5,6,701912.7,805500.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.0054116952654646375,5392099441.069124,0.8564221730497548,,Never,approx_grid_no_sign_change
reduced_mature_regime,5,7,701912.7,805500.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.0054116952654646375,5392099441.069124,0.9282110865248774,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,0,935883.6,1074000.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,1.0,3623499892.565893,8.648454117268729,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,1,935883.6,1074000.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,1.0,3623499892.565893,3.8242270586343645,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,2,935883.6,1074000.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,1.0,3623499892.565893,1.4121135293171823,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,3,935883.6,1074000.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.01,3623501023.5264835,0.03515428712722697,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,4,935883.6,1074000.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.01,3623501023.5264835,0.5175771435636135,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,5,935883.6,1074000.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.01,3623501023.5264835,0.7587885717818067,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,6,935883.6,1074000.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.01,3623501023.5264835,0.9035154287127227,,Never,approx_grid_no_sign_change
reduced_mature_regime,6,7,935883.6,1074000.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.01,3623501023.5264835,0.9517577143563613,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,0,1403825.4,1611000.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,1.0,1137357299.1366222,2.0284918010276516,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,1,1403825.4,1611000.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,1.0,1137357299.1366222,0.5142459005138258,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,2,1403825.4,1611000.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.0001,1137358076.180404,0.24287653247583876,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,3,1403825.4,1611000.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.0001,1137358076.180404,0.6971506129903354,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,4,1403825.4,1611000.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.0001,1137358076.180404,0.8485753064951678,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,5,1403825.4,1611000.0,0.8714,15022095139.906736,2.0,7511047569.953368,1e-08,0.0001,1137358076.180404,0.9242876532475838,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,6,1403825.4,1611000.0,0.8714,37555237849.76684,5.0,7511047569.953368,1e-08,0.0001,1137358076.180404,0.9697150612990335,,Never,approx_grid_no_sign_change
reduced_mature_regime,7,7,1403825.4,1611000.0,0.8714,75110475699.53368,10.0,7511047569.953368,1e-08,0.0001,1137358076.180404,0.9848575306495168,,Never,approx_grid_no_sign_change
reduced_mature_regime,8,0,1871767.2,2148000.0,0.8714,375552378.49766845,0.05,7511047569.953368,1e-08,0.00013593563908785255,52619723.20007727,0.8598871257038145,,Never,approx_grid_no_sign_change
reduced_mature_regime,8,1,1871767.2,2148000.0,0.8714,751104756.9953369,0.1,7511047569.953368,1e-08,0.00013593563908785255,52619723.20007727,0.9299435628519073,,Never,approx_grid_no_sign_change
reduced_mature_regime,8,2,1871767.2,2148000.0,0.8714,1502209513.9906738,0.2,7511047569.953368,1e-08,0.00013593563908785255,52619723.20007727,0.9649717814259536,,Never,approx_grid_no_sign_change
reduced_mature_regime,8,3,1871767.2,2148000.0,0.8714,3755523784.976684,0.5,7511047569.953368,1e-08,0.00013593563908785255,52619723.20007727,0.9859887125703816,,Never,approx_grid_no_sign_change
reduced_mature_regime,8,4,1871767.2,2148000.0,0.8714,7511047569.953368,1.0,7511047569.953368,1e-08,0.00013593563908785255,52619723.20007727,0.9929943562851907,,Never,approx_grid_no_sign_change
